,xco2_biascorrected,xco2_uncertainty
2013-06-14 10:54:34.331,393.26172,1.059607
2013-06-14 10:54:38.944,391.59772,1.0450066
2013-06-14 10:54:57.382,394.63852,0.9786187
2013-06-14 10:55:01.987,394.2171,0.9662092
2013-06-14 10:55:06.601,393.68796,0.9515076
2013-06-14 10:56:48.011,397.29623,0.9801028
2013-06-14 10:56:52.617,397.27594,0.97331816
2013-06-14 10:56:57.230,396.77072,0.9635794
2013-06-14 10:57:01.836,395.1179,0.9581473
2013-06-14 10:57:06.448,395.30673,0.95150036
2013-06-14 10:57:11.055,394.51254,0.94193035
2013-06-14 10:57:57.150,395.58865,0.89444005
2013-06-14 10:58:01.762,395.49387,0.888757
2013-06-14 10:58:06.369,395.57675,0.883294
2013-06-14 10:58:15.588,398.5638,0.8953036
2013-06-14 10:58:20.200,398.89868,0.8937028
2013-06-14 10:58:24.806,395.54025,1.2942084
2013-06-14 10:58:29.419,396.58777,1.440577
2013-06-14 10:59:20.121,397.37317,0.9617326
2013-06-14 10:59:24.734,396.96405,0.96979237
2013-06-14 10:59:29.340,394.9213,0.9576442
2013-06-14 10:59:33.953,398.95142,1.0077425
2013-06-14 10:59:38.559,398.30173,0.9833139
2013-06-14 10:59:43.173,397.77713,1.0156027
2013-06-14 10:59:56.998,394.79962,1.0291482
2013-06-14 11:00:33.874,398.02744,0.99668753
2013-06-14 11:00:38.487,397.85074,1.0048102
2013-06-14 11:01:10.750,397.38583,0.9732119
2013-06-14 11:01:19.969,397.1542,0.9858936
2013-06-15 10:08:24.546,393.56424,1.0260196
2013-06-15 10:08:29.155,392.80197,1.0293179
2013-06-15 10:08:33.766,393.8211,1.0327262
